run_folder,run_name,run_kind,run_mode,round,run_time_central,chunk_size,overlap,top_k,retriever,embedding_model,reranker,query_transform,prompt,context_filter,final_score,answer_correctness,faithfulness,context_recall,context_precision,citation_accuracy,recall_at_k,mrr_at_k,avg_latency,question_count
001__ablation_ablation_baseline_baseline_r1__2026-06-23_19-16-12_CDT,ablation_ablation_baseline_baseline_r1,ablation,full_pipeline,ablation_baseline,2026-06-23 19:16:12 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.07,79.42,82.83,89.08,72.83,94.67,100.0,94.86,9.964,60
008__ablation_ablation_baseline_baseline_r2__2026-06-24_04-09-37_CDT,ablation_ablation_baseline_baseline_r2,ablation,full_pipeline,ablation_baseline,2026-06-24 04:09:37 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.2,79.0,84.17,85.83,72.75,90.67,100.0,94.86,7.157,60
009__ablation_ablation_baseline_baseline_r3__2026-06-24_04-16-06_CDT,ablation_ablation_baseline_baseline_r3,ablation,full_pipeline,ablation_baseline,2026-06-24 04:16:06 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,80.11,76.75,80.55,84.08,71.12,91.83,100.0,94.86,6.484,60
010__ablation_ablation_a1_hybrid_r1__2026-06-24_23-18-43_CDT,ablation_ablation_a1_hybrid_r1,ablation,full_pipeline,ablation_a1,2026-06-24 23:18:43 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,79.5,75.92,80.17,83.5,69.08,92.83,100.0,94.86,10.996,60
011__ablation_ablation_a1_hybrid_r2__2026-06-24_23-28-40_CDT,ablation_ablation_a1_hybrid_r2,ablation,full_pipeline,ablation_a1,2026-06-24 23:28:40 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.03,79.5,83.42,89.5,71.5,93.0,100.0,94.86,9.95,60
012__ablation_ablation_a1_hybrid_r3__2026-06-24_23-38-42_CDT,ablation_ablation_a1_hybrid_r3,ablation,full_pipeline,ablation_a1,2026-06-24 23:38:42 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.05,81.83,84.97,88.67,75.5,88.83,100.0,94.86,10.032,60
013__ablation_ablation_a1_dense_r1__2026-06-24_23-48-35_CDT,ablation_ablation_a1_dense_r1,ablation,full_pipeline,ablation_a1,2026-06-24 23:48:35 CDT,256,50,5,dense,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,81.38,77.92,82.67,84.5,73.08,92.33,100.0,93.19,9.871,60
014__ablation_ablation_a1_dense_r2__2026-06-24_23-58-31_CDT,ablation_ablation_a1_dense_r2,ablation,full_pipeline,ablation_a1,2026-06-24 23:58:31 CDT,256,50,5,dense,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.9,78.58,82.92,88.58,73.83,95.67,100.0,93.19,9.935,60
015__ablation_ablation_a1_dense_r3__2026-06-25_00-08-24_CDT,ablation_ablation_a1_dense_r3,ablation,full_pipeline,ablation_a1,2026-06-25 00:08:24 CDT,256,50,5,dense,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,81.91,76.83,85.17,84.92,75.08,92.33,100.0,93.19,9.889,60
016__ablation_ablation_a2_qwen2.5-14b_r1__2026-06-25_00-19-36_CDT,ablation_ablation_a2_qwen2.5-14b_r1,ablation,full_pipeline,ablation_a2,2026-06-25 00:19:36 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.08,80.08,87.08,85.92,75.0,96.0,100.0,94.86,9.999,60
017__ablation_ablation_a2_qwen2.5-14b_r2__2026-06-25_00-30-55_CDT,ablation_ablation_a2_qwen2.5-14b_r2,ablation,full_pipeline,ablation_a2,2026-06-25 00:30:55 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.01,79.92,83.25,88.25,74.08,91.67,100.0,94.86,11.319,60
018__ablation_ablation_a2_qwen2.5-14b_r3__2026-06-25_00-40-48_CDT,ablation_ablation_a2_qwen2.5-14b_r3,ablation,full_pipeline,ablation_a2,2026-06-25 00:40:48 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.69,79.92,84.97,88.33,75.92,92.17,100.0,94.86,9.878,60
019__ablation_ablation_a2_llama3.1-8b_r1__2026-06-25_00-59-46_CDT,ablation_ablation_a2_llama3.1-8b_r1,ablation,full_pipeline,ablation_a2,2026-06-25 00:59:46 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,72.49,70.33,77.5,82.92,73.33,45.83,100.0,94.86,15.932,60
