paper_reported,run_folder,run_name,run_kind,run_mode,round,run_time_central,chunk_size,overlap,top_k,retriever,embedding_model,reranker,query_transform,prompt,context_filter,final_score,answer_correctness,faithfulness,context_recall,context_precision,citation_accuracy,recall_at_k,mrr_at_k,avg_latency,question_count
true,001__ablation_ablation_baseline_baseline_r1__2026-06-23_19-16-12_CDT,ablation_ablation_baseline_baseline_r1,ablation,full_pipeline,ablation_baseline,2026-06-23 19:16:12 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.07,79.42,82.83,89.08,72.83,94.67,100.0,94.86,9.964,60
true,008__ablation_ablation_baseline_baseline_r2__2026-06-24_04-09-37_CDT,ablation_ablation_baseline_baseline_r2,ablation,full_pipeline,ablation_baseline,2026-06-24 04:09:37 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.2,79.0,84.17,85.83,72.75,90.67,100.0,94.86,7.157,60
true,009__ablation_ablation_baseline_baseline_r3__2026-06-24_04-16-06_CDT,ablation_ablation_baseline_baseline_r3,ablation,full_pipeline,ablation_baseline,2026-06-24 04:16:06 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,80.11,76.75,80.55,84.08,71.12,91.83,100.0,94.86,6.484,60
true,010__ablation_ablation_a1_hybrid_r1__2026-06-24_23-18-43_CDT,ablation_ablation_a1_hybrid_r1,ablation,full_pipeline,ablation_a1,2026-06-24 23:18:43 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,79.5,75.92,80.17,83.5,69.08,92.83,100.0,94.86,10.996,60
true,011__ablation_ablation_a1_hybrid_r2__2026-06-24_23-28-40_CDT,ablation_ablation_a1_hybrid_r2,ablation,full_pipeline,ablation_a1,2026-06-24 23:28:40 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.03,79.5,83.42,89.5,71.5,93.0,100.0,94.86,9.95,60
true,012__ablation_ablation_a1_hybrid_r3__2026-06-24_23-38-42_CDT,ablation_ablation_a1_hybrid_r3,ablation,full_pipeline,ablation_a1,2026-06-24 23:38:42 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.05,81.83,84.97,88.67,75.5,88.83,100.0,94.86,10.032,60
true,013__ablation_ablation_a1_dense_r1__2026-06-24_23-48-35_CDT,ablation_ablation_a1_dense_r1,ablation,full_pipeline,ablation_a1,2026-06-24 23:48:35 CDT,256,50,5,dense,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,81.38,77.92,82.67,84.5,73.08,92.33,100.0,93.19,9.871,60
true,014__ablation_ablation_a1_dense_r2__2026-06-24_23-58-31_CDT,ablation_ablation_a1_dense_r2,ablation,full_pipeline,ablation_a1,2026-06-24 23:58:31 CDT,256,50,5,dense,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.9,78.58,82.92,88.58,73.83,95.67,100.0,93.19,9.935,60
true,015__ablation_ablation_a1_dense_r3__2026-06-25_00-08-24_CDT,ablation_ablation_a1_dense_r3,ablation,full_pipeline,ablation_a1,2026-06-25 00:08:24 CDT,256,50,5,dense,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,81.91,76.83,85.17,84.92,75.08,92.33,100.0,93.19,9.889,60
true,016__ablation_ablation_a2_qwen2.5-14b_r1__2026-06-25_00-19-36_CDT,ablation_ablation_a2_qwen2.5-14b_r1,ablation,full_pipeline,ablation_a2,2026-06-25 00:19:36 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.08,80.08,87.08,85.92,75.0,96.0,100.0,94.86,9.999,60
true,017__ablation_ablation_a2_qwen2.5-14b_r2__2026-06-25_00-30-55_CDT,ablation_ablation_a2_qwen2.5-14b_r2,ablation,full_pipeline,ablation_a2,2026-06-25 00:30:55 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.01,79.92,83.25,88.25,74.08,91.67,100.0,94.86,11.319,60
true,018__ablation_ablation_a2_qwen2.5-14b_r3__2026-06-25_00-40-48_CDT,ablation_ablation_a2_qwen2.5-14b_r3,ablation,full_pipeline,ablation_a2,2026-06-25 00:40:48 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.69,79.92,84.97,88.33,75.92,92.17,100.0,94.86,9.878,60
true,019__ablation_ablation_a2_llama3.1-8b_r1__2026-06-25_00-59-46_CDT,ablation_ablation_a2_llama3.1-8b_r1,ablation,full_pipeline,ablation_a2,2026-06-25 00:59:46 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,72.49,70.33,77.5,82.92,73.33,45.83,100.0,94.86,15.932,60
true,020__ablation_ablation_a2_llama3.1-8b_r2__2026-06-25_08-50-12_CDT,ablation_ablation_a2_llama3.1-8b_r2,ablation,full_pipeline,ablation_a2,2026-06-25 08:50:12 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,74.77,73.17,77.92,85.75,73.0,52.33,100.0,94.86,16.795,60
true,021__ablation_ablation_a2_llama3.1-8b_r3__2026-06-25_09-06-13_CDT,ablation_ablation_a2_llama3.1-8b_r3,ablation,full_pipeline,ablation_a2,2026-06-25 09:06:13 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,73.94,71.25,76.92,84.75,69.25,59.0,100.0,94.86,16.019,60
true,022__ablation_ablation_a3_json_r1__2026-06-25_10-01-10_CDT,ablation_ablation_a3_json_r1,ablation,full_pipeline,ablation_a3,2026-06-25 10:01:10 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.89,78.5,84.83,87.33,74.58,92.83,100.0,95.97,14.311,60
true,023__ablation_ablation_a3_json_r2__2026-06-26_04-17-26_CDT,ablation_ablation_a3_json_r2,ablation,full_pipeline,ablation_a3,2026-06-26 04:17:26 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.88,80.67,87.17,87.25,76.0,88.0,100.0,94.86,14.363,60
true,024__ablation_ablation_a3_json_r3__2026-06-26_04-58-41_CDT,ablation_ablation_a3_json_r3,ablation,full_pipeline,ablation_a3,2026-06-26 04:58:41 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.0,81.0,85.67,86.67,72.83,96.17,100.0,94.86,14.186,60
true,025__ablation_ablation_a3_xml_r1__2026-06-26_05-49-04_CDT,ablation_ablation_a3_xml_r1,ablation,full_pipeline,ablation_a3,2026-06-26 05:49:04 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_with_citations,none,83.92,80.5,84.17,87.17,74.0,98.67,100.0,94.86,14.572,60
true,026__ablation_ablation_a3_xml_r2__2026-06-26_07-28-10_CDT,ablation_ablation_a3_xml_r2,ablation,full_pipeline,ablation_a3,2026-06-26 07:28:10 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_with_citations,none,85.68,83.75,86.58,87.08,74.58,98.5,100.0,94.86,14.943,60
true,027__ablation_ablation_a3_xml_r3__2026-06-26_08-18-40_CDT,ablation_ablation_a3_xml_r3,ablation,full_pipeline,ablation_a3,2026-06-26 08:18:40 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_with_citations,none,82.69,79.42,82.75,87.17,75.75,92.0,91.67,87.36,14.743,60
true,028__ablation_ablation_a4_none_r1__2026-06-26_09-04-15_CDT,ablation_ablation_a4_none_r1,ablation,full_pipeline,ablation_a4,2026-06-26 09:04:15 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.09,78.75,83.08,85.25,74.7,92.33,100.0,94.86,14.228,60
true,029__ablation_ablation_a4_none_r2__2026-06-26_09-45-35_CDT,ablation_ablation_a4_none_r2,ablation,full_pipeline,ablation_a4,2026-06-26 09:45:35 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.97,81.17,84.92,87.58,73.5,94.67,100.0,94.86,14.159,60
true,030__ablation_ablation_a4_none_r3__2026-06-26_11-00-49_CDT,ablation_ablation_a4_none_r3,ablation,full_pipeline,ablation_a4,2026-06-26 11:00:49 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.5,78.17,84.25,86.25,73.58,94.67,100.0,94.86,14.694,60
true,031__ablation_ablation_a4_top_sentences_10_r1__2026-06-26_12-15-05_CDT,ablation_ablation_a4_top_sentences_10_r1,ablation,full_pipeline,ablation_a4,2026-06-26 12:15:05 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,top_sentences_10,78.97,76.0,81.08,78.17,70.17,94.5,100.0,94.86,13.694,60
true,032__ablation_ablation_a4_top_sentences_10_r2__2026-06-26_14-13-58_CDT,ablation_ablation_a4_top_sentences_10_r2,ablation,full_pipeline,ablation_a4,2026-06-26 14:13:58 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,top_sentences_10,79.67,75.75,83.75,80.75,70.42,90.33,100.0,94.86,14.875,60
true,033__ablation_ablation_a4_top_sentences_10_r3__2026-06-26_14-54-45_CDT,ablation_ablation_a4_top_sentences_10_r3,ablation,full_pipeline,ablation_a4,2026-06-26 14:54:45 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,top_sentences_10,78.33,75.67,79.5,78.83,69.75,92.33,100.0,94.86,13.595,60
true,034__ablation_ablation_a4_top_sentences_5_r1__2026-06-26_15-53-24_CDT,ablation_ablation_a4_top_sentences_5_r1,ablation,full_pipeline,ablation_a4,2026-06-26 15:53:24 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,top_sentences_5,69.28,63.17,74.92,64.58,67.58,87.67,100.0,94.86,13.085,60
true,035__ablation_ablation_a4_top_sentences_5_r2__2026-06-26_16-31-54_CDT,ablation_ablation_a4_top_sentences_5_r2,ablation,full_pipeline,ablation_a4,2026-06-26 16:31:54 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,top_sentences_5,69.03,63.75,74.58,62.33,70.5,85.5,100.0,94.86,12.744,60
true,036__ablation_ablation_a4_top_sentences_5_r3__2026-06-26_17-09-32_CDT,ablation_ablation_a4_top_sentences_5_r3,ablation,full_pipeline,ablation_a4,2026-06-26 17:09:32 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,top_sentences_5,68.37,63.58,73.3,61.53,66.5,88.33,100.0,94.86,12.707,60
